,url,line_number,line,poet,json,answers
0,https://genius.com/Owen-fra-freekids-lyrics,7,"Giggs avec les cheveux gris, Riyad Mahrez à Leicester
Mes écrits c’est du Victor Hugo
Faut qu'je mi-dor plus tôt, des zéros dans l'bigo",Victor Hugo,"{'answer': 'C', 'justification': ""The lyrics mention Blaise Cendrars in the context of the listener reading both Faulkner and Cendrars, but the rapper does not explicitly compare himself to Cendrars or distance himself from him. The rapper focuses on his own age and hopes, without direct reference to Cendrars' influence or contrast.""}",C
1,https://genius.com/Nakk-mendosa-laisse-lyrics,12,"La poisse comme alter ego, entre rue et gosses
Belle go, j’suis Victor Hugo avec des grosses lèvres
Entouré, car seul, c’est casse-gueule",Victor Hugo,"{'answer': 'A', 'justification': ""The rapper explicitly mentions traveling with Cendrars, Miller, and other artists, which implies association and alignment with the poet. This direct mention of being 'with' Cendrars suggests a comparison or identification with the poet's legacy or creative movement, rather than distancing himself.""}",A
2,https://genius.com/Dinos-a-propos-dca-lyrics,33,"Sangoten rentre en moi quand j'écris mes lines
Face à moi, Victor Hugo serait misérable
J'ai d'la force pour les frères, où est mon trône ?",Victor Hugo,"{'answer': 'B', 'justification': ""The rapper addresses Paul Éluard with a dismissive tone ('Chminv', Paul Éluard, c'est oim''), suggesting he is not taking Éluard seriously. The line 'Le Nakk faut le voir se battre' emphasizes the rapper's own agency and relevance, contrasting with Éluard's perceived irrelevance. This indicates a distancing from the poet rather than comparison or alignment.""}",B
3,https://genius.com/Lonepsi-danger-de-mot-lyrics,16,"Quand je me dis finalement que ce qui m'arrive c'est un drame
Pour me réconforter, je lis Victor Hugo, Stendhal
Dans le café de la rue",Victor Hugo,"{'answer': 'B', 'justification': ""The lyric 'des petits vers, pas d'Éluard' directly states that the rapper's work (small verses) is not associated with Éluard, explicitly distancing himself from the poet.""}",B
4,https://genius.com/Nakk-mendosa-astral-lyrics,34,"Il paraît qu'les types bien savent perdre
De là-haut Victor Hugo m'a dit : ""Oh, t'écris bien, sale nègre""
Le bruit, l'odeur, les tirailleurs, ça c'est nous je crois",Victor Hugo,"{'answer': 'C', 'justification': ""The lyrics mention a person reciting Éluard's poems, but there is no direct comparison or distancing from the poet. The rapper is simply referencing Éluard's work without explicitly stating a relationship to the poet.""}",C
5,https://genius.com/Doks-fais-moi-confiance-lyrics,14,"Je t'achèterai une Lambo
Si j'étais Victor Hugo
Tu serais le thème de mes poésies",Victor Hugo,"{'answer': 'A', 'justification': 'The lyric ""Jeune écrivain comme Éluard"" directly compares the rapper to Éluard using ""comme"" (like), explicitly stating they are both young writers. This indicates a deliberate comparison rather than distance or neutrality.'}",A
6,https://genius.com/Doks-fais-moi-confiance-lyrics,42,"Je t'achèterai une Lambo
Si j'étais Victor Hugo
Tu serais le thème de mes poésies",Victor Hugo,"{'answer': 'A', 'justification': ""The line 'Débridé, comme Henri Michaux sous mescaline' directly compares the rapper to Michaux using 'comme' (like), indicating a deliberate analogy. The rapper positions himself in a similar state (débridé) to Michaux under the influence of mescaline, establishing a comparison rather than distance or neutrality.""}",A
7,https://genius.com/Doks-fais-moi-confiance-lyrics,66,"Je t'achèterai une Lambo
Si j'étais Victor Hugo
Tu serais le thème de mes poésies",Victor Hugo,"{'answer': 'C', 'justification': ""The lyrics mention reading a poem by Michaux, but there is no explicit comparison or distancing from the poet. The rapper's personal activities (e.g., enjoying rain, eating a gaufre) are unrelated to Michaux's work, indicating neither direct comparison nor intentional distance from the poet.""}",C
8,https://genius.com/Alibi-montana-ma-rue-slammee-lyrics,51,"Ma rue slammée
Victor Hugo en Air Force One, c’est chant-mé
T’as ma parole",Victor Hugo,"{'answer': 'A', 'justification': ""The rapper directly addresses Léon Damas and references his own behavior in the context of the poet's style ('j'suis ridicule dans vos smokings'), indicating a comparison. By mentioning himself in relation to the poet's aesthetic (smokings), the rapper aligns himself with the poet's legacy or style, suggesting a deliberate comparison rather than distance.""}",A
9,https://genius.com/Elams-mama-lyrics,45,"Ma tête en B.D dans la pochette de l'album, dis c'est bien au graphiste
Dans l'morceau ""C'est ma life"", comme Victor Hugo j'suis autobiographiste
Pétard et pétasse au café, pété pour me tuer",Victor Hugo,"{'answer': 'A', 'justification': ""The line 'Préférant voir le monde à la manière d’un René Char' explicitly states the rapper prefers to see the world in the style of René Char, directly comparing his approach to the poet's. This indicates alignment with the poet's perspective, not distancing from him.""}",A
10,https://genius.com/Hippocampe-fou-selfree-lyrics,4,"Ils font des bails de 'Cains-ri', stupides, cupides et sont ravis
Ils s'prennent pour Victor Hugo, à quand Notre Dab de Paris ?
Oh, fuck la culture de masse, moi, j'crée des sculptures de crasse",Victor Hugo,"{'answer': 'A', 'justification': 'The lyric directly compares the rapper and Sidi Badr to Camus and René Char, placing the rapper in the same category as the poet, indicating a comparison rather than distance or neutrality.'}",A
11,https://genius.com/Medine-le-khan-lyrics,12,"Je suis sur la ligne Gaza-São Paulo, dans les salons et lounge, j'reste un salaud de pauvre
Dans les concerts de métal, on m'appelle Magnéto, sur l'cover c'est bien Victor Hugo
Uppercut à la pointe du menton, j'leur fais faire l'ascenseur dès le premier round",Victor Hugo,"{'answer': 'A', 'justification': ""The lyric 'Gratterai un poème dans la pur veine de René Char' directly references the poet René Char, indicating the rapper is drawing inspiration from or aligning himself with Char's poetic style. This explicit comparison to the poet's 'veine' (vein/legacy) establishes a direct link, supporting answer A.""}",A
12,https://genius.com/Lord-esperanza-drapeau-noir-lyrics,30,"Demain dès l'aube, je t'oublierai
Comme a su le faire Victor Hugo
J'me demande pourquoi t'en pleures, pourquoi t'en pleures ?",Victor Hugo,"{'answer': 'A', 'justification': ""The lyric 'J’avoue j’ai vécu comme Pablo Neruda' directly compares the rapper's experiences to those of Pablo Neruda, using 'comme' (like/as) to indicate similarity. This explicit reference establishes a comparison rather than distance or neutrality.""}",A
13,https://genius.com/Beeby-zonar-lyrics,26,"Fuck ton commissaire
Moi j'suis pas Victor Hugo (jamais)
Et j'écris pas Les Misérables",Victor Hugo,"{'answer': 'C', 'justification': ""The rapper mentions reading Neruda alongside other authors, but does not explicitly compare himself to Neruda or distance himself from him. The reference to Neruda is part of a list of literary influences, not a direct comparison or contrast. The phrase 'J'y buvais des légendes' suggests inspiration from their works, not a claim of similarity or divergence.""}",C
14,https://genius.com/Virus-lhiver-lyrics,65,"Ainsi, t'nez, en littérature
Nous avons not' Victor Hugo
Qui a tiré des mendigots",Victor Hugo,"{'answer': 'B', 'justification': 'The rapper explicitly states ""On parlera pas d\'Pablo Neruda"" (We won\'t talk about Pablo Neruda), which indicates a deliberate avoidance of the poet. This suggests a distanciation from Neruda rather than a comparison or identification with him.'}",B
15,https://genius.com/Grej-tristesse-lyrics,31,"Je sais pas quelle bienvenue j'aurai au palais fédéral à Berne
J'me dois d'être un Victor Hugo des temps modernes
J'me dois de taffer toutes les nuits, des sacs à dos en guise de cernes",Victor Hugo,"{'answer': 'A', 'justification': ""The line 'tel Neruda sur un dancefloor' directly compares the rapper to Neruda, indicating that he identifies with or draws inspiration from the poet, even in a modern, dancefloor context.""}",A
16,https://genius.com/Dinos-bloody-mary-lyrics,47,"Toujours dans le big 4
Va dire à ta pute de prof que j'écris mieux que Victor Hugo
Vous êtes vite morts, ce tube dans vos transistors",Victor Hugo,"{'answer': 'A', 'justification': ""The line 'Tengo miedo como Neruda' directly compares the rapper's fear to that of Neruda, using 'como' (like) to indicate a similarity. This establishes a comparison rather than a distance or neutrality.""}",A
17,https://genius.com/Red-cross-on-arrive-lyrics,72,"Les plus grands artistes ont toujours une fin dramatique
Chouf, la mort de Victor Hugo n'avait rien d'poétique
J'n'ai plus besoin d'me présenter donc j'boycotte le mot ""enchanté""",Victor Hugo,"{'answer': 'A', 'justification': 'The line ""Tengo miedo como Neruda"" directly compares the rapper\'s fear to that of Neruda, using ""como"" (like) to establish a similarity. This explicit reference indicates the rapper is drawing a parallel between himself and the poet.'}",A
